face;suit;value
king;spades;13,00
queen;spades;12,00
jack;spades;11,00
ten;spades;10,00
nine;spades;9,00
eight;spades;8,00
seven;spades;7,00
six;spades;6,00
five;spades;5,00
four;spades;4,00
three;spades;3,00
two;spades;2,00
ace;spades;1,00
king;clubs;13,00
queen;clubs;12,00
jack;clubs;11,00
ten;clubs;10,00
nine;clubs;9,00
eight;clubs;8,00
seven;clubs;7,00
six;clubs;6,00
five;clubs;5,00
four;clubs;4,00
three;clubs;3,00
two;clubs;2,00
ace;clubs;1,00
king;diamonds;13,00
queen;diamonds;12,00
jack;diamonds;11,00
ten;diamonds;10,00
nine;diamonds;9,00
eight;diamonds;8,00
seven;diamonds;7,00
six;diamonds;6,00
five;diamonds;5,00
four;diamonds;4,00
three;diamonds;3,00
two;diamonds;2,00
ace;diamonds;1,00
king;hearts;13,00
queen;hearts;12,00
jack;hearts;11,00
ten;hearts;10,00
nine;hearts;9,00
eight;hearts;8,00
seven;hearts;7,00
six;hearts;6,00
five;hearts;5,00
four;hearts;4,00
three;hearts;3,00
two;hearts;2,00
ace;hearts;1,00
